subject-id,DSC,ASD,HD95,NSD,model,anatomy
sub-verse138_vert-16-seg-vert_msk,0.87,0.57,1.73,0.91,UNETR,none
s1110_rib_msk,0.36,1.9,9.95,0.3,UNETR,rib
s0624_hip_msk,0.88,0.68,2.45,0.54,UNETR,hip
s0859_femur_left_msk,0.87,1.93,5.83,0.58,UNETR,femur
sub-verse138_vert-16-seg-vert_msk,0.86,0.58,2.0,0.89,UNETR,vertebra
sub-verse138_vert-16-seg-vert_msk,0.85,0.69,2.24,0.85,TLPredictor,vertebra
s0624_hip_msk,0.88,0.68,2.45,0.54,UNETR,none
s1110_rib_msk,0.43,1.36,5.0,0.36,UNet,rib
s0624_hip_msk,0.86,0.78,2.45,0.5,TLPredictor,hip
s0859_femur_left_msk,0.86,2.36,6.08,0.48,MultiScale2DPermuteConcat,femur
sub-verse138_vert-16-seg-vert_msk,0.84,0.64,2.45,0.83,OneDConcat,vertebra
s1110_rib_msk,0.23,2.34,12.33,0.18,TLPredictor,rib
s0859_femur_left_msk,0.88,2.0,5.92,0.58,TwoDPermuteConcat,femur
s0624_hip_msk,0.9,0.59,1.73,0.64,AttentionUnet,hip
s0859_femur_left_msk,0.87,1.93,5.83,0.58,UNETR,none
s1110_rib_msk,0.36,1.9,9.95,0.3,UNETR,none
s1110_rib_msk,0.51,0.95,5.0,0.44,AttentionUnet,rib
s0859_femur_left_msk,0.86,1.97,6.48,0.49,UNet,femur
s0624_hip_msk,0.89,0.66,2.24,0.58,MultiScale2DPermuteConcat,hip
sub-verse138_vert-16-seg-vert_msk,0.88,0.57,1.41,0.93,UNet,vertebra
s1110_rib_msk,0.48,1.17,9.25,0.41,MultiScale2DPermuteConcat,rib
s0624_hip_msk,0.89,0.59,2.24,0.61,TwoDPermuteConcat,hip
s0859_femur_left_msk,0.82,2.83,8.06,0.37,OneDConcat,femur
sub-verse138_vert-16-seg-vert_msk,0.89,0.5,1.41,0.94,AttentionUnet,vertebra
sub-verse138_vert-16-seg-vert_msk,0.88,0.53,1.73,0.91,TwoDPermuteConcat,none
s1110_rib_msk,0.24,2.05,21.28,0.21,OneDConcat,rib
s0624_hip_msk,0.88,0.69,2.45,0.56,UNet,hip
s0859_femur_left_msk,0.87,2.12,5.74,0.48,AttentionUnet,femur
sub-verse138_vert-16-seg-vert_msk,0.86,0.59,2.0,0.89,MultiScale2DPermuteConcat,vertebra
s0624_hip_msk,0.83,0.95,3.32,0.4,OneDConcat,none
s0624_hip_msk,0.83,0.95,3.32,0.4,OneDConcat,hip
s0859_femur_left_msk,0.84,2.38,6.78,0.41,TLPredictor,femur
sub-verse138_vert-16-seg-vert_msk,0.86,0.6,1.73,0.9,TwoDPermuteConcat,vertebra
s1110_rib_msk,0.48,1.19,5.74,0.4,TwoDPermuteConcat,rib
s1110_rib_msk,0.43,1.36,5.0,0.36,UNet,none
s0334_rib_msk,0.6,0.81,3.46,0.51,TwoDPermuteConcat,rib
sub-verse138_vert-17-seg-vert_msk,0.86,0.65,2.24,0.85,TLPredictor,vertebra
s0859_femur_right_msk,0.88,1.86,8.25,0.59,MultiScale2DPermuteConcat,femur
s0139_hip_msk,0.87,0.66,2.24,0.57,AttentionUnet,hip
s0859_femur_left_msk,0.86,1.97,6.48,0.49,UNet,none
s0334_rib_msk,0.6,0.79,6.66,0.51,MultiScale2DPermuteConcat,rib
sub-verse138_vert-17-seg-vert_msk,0.86,0.58,2.24,0.85,OneDConcat,vertebra
s0859_femur_right_msk,0.9,1.45,4.47,0.63,TwoDPermuteConcat,femur
s0139_hip_msk,0.86,0.71,2.83,0.52,MultiScale2DPermuteConcat,hip
s1110_rib_msk,0.24,2.1,22.2,0.21,OneDConcat,none
sub-verse138_vert-17-seg-vert_msk,0.89,0.53,1.73,0.91,UNet,vertebra
s0139_hip_msk,0.89,0.6,2.24,0.6,TwoDPermuteConcat,hip
s0859_femur_right_msk,0.81,2.69,12.77,0.4,OneDConcat,femur
s0334_rib_msk,0.39,1.52,14.59,0.34,OneDConcat,rib
s0624_hip_msk,0.9,0.61,1.73,0.62,AttentionUnet,none
s0859_femur_right_msk,0.84,1.96,13.49,0.54,AttentionUnet,femur
sub-verse138_vert-17-seg-vert_msk,0.88,0.52,2.0,0.89,MultiScale2DPermuteConcat,vertebra
sub-verse138_vert-16-seg-vert_msk,0.86,0.6,2.24,0.87,MultiScale2DPermuteConcat,none
s0139_hip_msk,0.82,0.95,3.74,0.38,TLPredictor,hip
s0334_rib_msk,0.63,0.65,2.83,0.55,AttentionUnet,rib
s0139_hip_msk,0.88,0.69,2.83,0.55,UNet,hip
s0334_rib_msk,0.39,1.48,5.48,0.34,TLPredictor,rib
sub-verse138_vert-17-seg-vert_msk,0.89,0.49,1.73,0.92,AttentionUnet,vertebra
